3/5/2025 11:28:09 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:Home,Action:Index
3/5/2025 11:28:32 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Index
3/5/2025 11:28:35 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Cart
3/5/2025 11:28:37 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Index
3/5/2025 11:28:37 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Cart
3/5/2025 11:28:38 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Index
3/5/2025 11:28:39 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Cart
3/5/2025 11:28:40 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:Home,Action:Privacy
3/5/2025 11:28:42 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:Login,Action:Login
3/5/2025 11:28:48 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:Products,Action:Index
3/5/2025 11:28:48 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:Login,Action:Login
3/5/2025 11:30:41 AM, 使用者:Guest,IP:::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36,Controller:ProductList,Action:Cart
